#{"t_start": 1748204247.303221, "env_id": "None"}
r,l,t
86.205395,160,0.647417
67.097059,160,0.664889
74.799948,160,0.681075
75.485858,160,0.697016
80.439078,160,0.714086
47.528959,160,0.7311
66.792187,160,0.747028
-4.14324,160,0.762965
55.80759,160,0.778956
47.947291,160,0.794641
66.626976,160,0.810901
53.644803,160,0.827386
84.74296,160,0.895605
45.40901,160,0.912254
66.959701,160,0.930419
46.049204,160,0.947014
85.10168,160,0.963191
55.038383,160,0.979622
44.796819,160,0.996049
55.233661,160,1.01235
49.862384,160,1.029881
71.737218,160,1.046159
49.564941,160,1.062118
63.503725,160,1.078121
52.524078,160,1.094368
42.120637,160,1.118828
75.735858,160,1.136382
89.967742,160,1.153223
82.193845,160,1.169626
71.826186,160,1.186352
67.145544,160,1.202926
103.872041,160,1.220735
103.872041,160,1.234447
103.872041,160,1.246717
103.872041,160,1.258765
103.872041,160,1.271147
65.478564,160,1.31773
87.300354,160,1.335433
44.050823,160,1.352748
47.257032,160,1.36914
73.235772,160,1.385443
57.012934,160,1.401098
83.278677,160,1.4176
65.146085,160,1.443807
75.372196,160,1.46028
63.010156,160,1.476829
54.657884,160,1.493238
43.906839,160,1.509638
64.010237,160,1.525741
68.281174,160,1.542598
68.059225,160,1.559352
77.092945,160,1.575227
77.508184,160,1.59089
96.582262,160,1.606652
41.555604,160,1.623399
60.717259,160,1.648435
53.718941,160,1.665671
77.673036,160,1.682104
61.049595,160,1.697953
78.232296,160,1.714005
88.387032,160,1.730553
79.226328,160,1.746786
82.852657,160,1.764545
50.512007,160,1.780462
55.684839,160,1.796868
78.052689,160,1.812809
68.59743,160,1.828773
103.872041,160,1.847389
103.872041,160,1.860558
103.872041,160,1.874302
103.872041,160,1.887141
103.872041,160,1.89982
72.382707,160,1.919939
72.123358,160,1.944784
79.235131,160,1.962236
19.838888,160,1.979136
56.552309,160,1.995637
69.248515,160,2.012219
64.450653,160,2.028764
58.291856,160,2.044573
81.361768,160,2.060621
87.014083,160,2.077997
50.343899,160,2.094099
79.629226,160,2.110028
75.167625,160,2.125904
88.023068,160,2.142333
90.629687,160,2.166537
86.460698,160,2.183937
66.486786,160,2.199771
74.787912,160,2.216504
60.342474,160,2.232926
61.377557,160,2.249593
87.864469,160,2.265874
49.737101,160,2.282999
52.058447,160,2.299534
95.926121,160,2.315582
55.103773,160,2.332122
72.61202,160,2.348003
73.574015,160,2.3637
61.718499,160,2.389298
82.915095,160,2.405443
81.981488,160,2.4214
49.745818,160,2.437913
103.872041,160,2.4546
103.872041,160,2.467223
103.872041,160,2.480006
103.872041,160,2.494022
103.872041,160,2.507437
80.191309,160,2.527341
68.361086,160,2.54402
77.319821,160,2.560363
80.443194,160,2.576725
73.652671,160,2.593679
51.899498,160,2.610574
79.436128,160,2.626715
42.293319,160,2.642598
85.379002,160,2.66723
52.969965,160,2.68342
47.274169,160,2.700763
47.837709,160,2.716588
72.394632,160,2.732361
74.384814,160,2.748268
25.971089,160,2.764229
73.498126,160,2.780121
78.352762,160,2.79663
17.464691,160,2.813496
75.203309,160,2.829876
91.163678,160,2.845802
82.619397,160,2.861754
80.063427,160,2.886155
62.331248,160,2.902864
78.351107,160,2.919759
77.704866,160,2.935902
100.879405,160,2.951701
77.058835,160,2.967763
64.935937,160,2.98395
37.161798,160,3.000369
83.005032,160,3.017484
91.26924,160,3.033175
103.872041,160,3.051545
103.872041,160,3.064109
103.872041,160,3.076762
103.872041,160,3.089366
103.872041,160,3.102358
76.511659,160,3.12233
83.217607,160,3.138272
53.191186,160,3.154154
80.793157,160,3.179392
83.208814,160,3.19611
84.352041,160,3.212999
82.95233,160,3.230798
83.848254,160,3.247646
75.734059,160,3.264623
67.596757,160,3.281581
69.458294,160,3.298466
81.167539,160,3.316207
63.83289,160,3.333577
84.189449,160,3.349944
55.667991,160,3.366175
78.247359,160,3.39075
71.229026,160,3.40663
75.363795,160,3.423861
50.94888,160,3.440372
56.346442,160,3.456579
82.735993,160,3.472594
86.97384,160,3.488438
82.853434,160,3.50447
49.743172,160,3.521481
86.187611,160,3.538087
76.038195,160,3.554367
65.285266,160,3.570569
67.109148,160,3.586853
79.127147,160,3.611622
79.229117,160,3.629383
65.734731,160,3.64625
103.872041,160,3.663414
103.872041,160,3.676283
103.872041,160,3.689179
103.872041,160,3.701936
103.872041,160,3.714822
71.434777,160,3.735298
59.907269,160,3.751673
67.55763,160,3.768406
58.293023,160,3.785106
92.308402,160,3.801965
79.415114,160,3.819207
84.685916,160,3.837101
34.353186,160,3.855395
68.531751,160,3.874148
81.7677,160,3.892727
68.361319,160,3.920782
68.347012,160,3.940943
62.729993,160,3.960264
83.342584,160,3.977781
62.929542,160,3.998869
79.78671,160,4.017643
94.204585,160,4.038688
83.943114,160,4.060989
77.440145,160,4.077728
70.107398,160,4.094638
