time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,rollout/ep_len_mean,train/loss,env/wind_speed,env/energy,train/learning_rate,env/voltage,env/concentration,train/n_updates,env/aqi
0,14244,4,0.9706912866102186,0.9366400000000004,640,1.699,,,,,,,,
0,3233,8,0.8893365237585061,0.8732799999999996,1280,1.699,0.07290800660848618,2.547,259.12584,0.0001,2.547,12.701932520147716,69,49.16204812189468
0,2169,12,0.9525637744155934,0.8099200000000001,1920,1.699,0.03967873752117157,,,0.0001,,,229,
1,1994,16,0.815651555930386,0.7465600000000004,2560,1.699,0.013460653834044933,2.4206999999999996,230.01444,0.0001,2.4206999999999996,13.547720764663456,389,51.386917535544654
1,1996,20,1.5103013345347676,0.6831999999999998,3200,1.699,0.04603605344891548,2.5755999999999997,249.16968000000003,0.0001,2.5755999999999997,12.114383403189146,549,48.24549464888996
1,2062,24,1.0518339204032576,0.6198400000000002,3840,1.699,0.0176176056265831,,,0.0001,,,709,
2,2127,28,1.255474122693648,0.5564800000000005,4480,1.699,0.05990158021450043,2.3068,198.25416,0.0001,2.3068,13.188698713237281,869,51.96010620037624
2,2182,32,1.4095914338531808,0.4931199999999998,5120,1.699,0.02964370884001255,2.1889,179.84843999999998,0.0001,2.1889,13.985870507481525,1029,53.9644121809088
2,2246,36,1.228445460823729,0.42976000000000014,5760,1.699,0.01546486932784319,,,0.0001,,,1189,
2,2294,40,1.2667275783254373,0.3663999999999995,6400,1.699,0.01736084744334221,2.0810999999999993,161.51003999999998,0.0001,2.0810999999999993,14.561322732537421,1349,55.672861173005586
3,2337,44,1.4361391006750526,0.30303999999999987,7040,1.699,0.04901132732629776,2.0584999999999996,157.09715999999995,0.0001,2.0584999999999996,14.65778959706363,1509,56.08732936396683
3,2372,48,1.2757532287106432,0.23968000000000034,7680,1.699,0.17766213417053223,,,0.0001,,,1669,
3,2386,52,1.4288430167747799,0.1763200000000006,8320,1.699,0.011152845807373524,2.0569999999999995,156.66407999999996,0.0001,2.0569999999999995,14.635623698337767,1829,56.092514126680776
3,2404,56,1.425989539347771,0.11295999999999984,8960,1.699,0.04930127039551735,,,0.0001,,,1989,
3,2406,60,1.43359283161151,0.04960000000000031,9600,1.699,0.03208154812455177,2.115299999999999,163.94507999999996,0.0001,2.115299999999999,14.068157964060335,2149,55.03340964871239
4,2398,64,1.4089115241031742,0.01,10240,1.699,0.13264183700084686,2.0627,156.75731999999994,0.0001,2.0627,14.507520450600866,2309,55.912461855467875
4,2393,68,1.4046711552484157,0.01,10880,1.699,0.11359409242868423,,,0.0001,,,2469,
4,2387,72,1.278609980357833,0.01,11520,1.699,0.066765196621418,2.1213999999999995,165.79727999999997,0.0001,2.1213999999999995,14.17596180140782,2629,55.26855872449664
5,2381,76,1.3998138895388665,0.01,12160,1.699,0.040426939725875854,2.0560999999999994,156.89987999999994,0.0001,2.0560999999999994,14.7033655821361,2789,56.29785225418198
5,2381,80,1.327104199835768,0.01,12800,1.699,0.009808647446334362,,,0.0001,,,2949,
5,2393,84,1.2844236037947254,0.01,13440,1.699,0.23626209795475006,2.1391999999999998,168.92639999999997,0.0001,2.1391999999999998,14.069735705584925,3109,54.92115336907081
5,2405,88,1.4032313650976374,0.01,14080,1.699,0.017936017364263535,2.1188999999999996,165.94307999999995,0.0001,2.1188999999999996,14.205696662954432,3269,55.21147510345958
6,2413,92,1.4875775822159625,0.01,14720,1.699,0.00952552817761898,,,0.0001,,,3429,
6,2418,96,1.2736997443971192,0.01,15360,1.699,0.014013908803462982,2.1296999999999997,167.43923999999996,0.0001,2.1296999999999997,14.114252835500798,3589,55.04357964930599
6,2423,100,1.2916170205677986,0.01,16000,1.699,0.01242657471448183,2.1015999999999995,162.97704,0.0001,2.1015999999999995,14.293700505632241,3749,55.383124985462
6,2427,104,1.4394581309846388,0.01,16640,1.699,0.01858004555106163,,,0.0001,,,3909,
7,2432,108,1.2396987852592936,0.01,17280,1.699,0.05096350982785225,2.1317,168.02099999999993,0.0001,2.1317,14.14049512320322,4069,55.06004649192416
