timestep,aqi,fan_speed
10,3.0,0.1
20,3.0,0.0
30,3.0,0.0
40,3.0,0.1
50,3.0,0.0
60,3.0,0.1
70,3.0,0.2
80,3.0,0.5
90,3.0,0.4
100,3.0,0.2
110,3.0,0.0
120,3.0,0.1
130,3.0,2.7755576e-17
140,3.0,0.3
150,3.0,0.4
160,3.0,0.4
170,3.0,0.4
180,3.0,0.5
190,3.0,0.3
200,3.0,0.4
210,3.0,0.7
220,3.0,0.7
230,3.0,0.8
240,3.0,1.0
250,3.0,0.9
260,3.0,0.7
270,3.0,0.4
280,3.0,0.6
290,3.0,0.3
300,3.0,0.2
310,3.0,0.2
320,3.0,1.3877788e-16
330,2.0,0.2
340,2.0,0.3
350,2.0,1.3877788e-16
360,3.0,0.0
370,2.0,0.1
380,2.0,0.1
390,2.0,0.2
400,2.0,0.6
410,2.0,0.5
420,2.0,0.5
430,2.0,0.5
440,2.0,0.4
450,3.0,0.4
460,3.0,0.7
470,2.0,0.9
480,3.0,1.0
490,3.0,1.0
500,3.0,0.9
510,2.0,0.8
520,2.0,0.6
530,2.0,0.7
540,2.0,0.7
550,2.0,0.8
560,2.0,1.0
570,2.0,0.8
580,2.0,0.8
590,3.0,0.8
600,3.0,0.6
610,3.0,0.4
620,3.0,0.6
630,3.0,0.7
640,3.0,0.6
650,2.0,0.5
660,2.0,0.4
670,3.0,0.6
680,3.0,0.4
690,3.0,0.0
700,2.0,0.1
710,3.0,0.1
720,3.0,0.3
730,3.0,0.2
740,3.0,0.1
750,3.0,0.4
760,3.0,0.4
770,3.0,0.2
780,3.0,0.0
790,4.0,0.1
800,4.0,0.2
810,4.0,0.1
820,3.0,0.0
830,3.0,0.1
840,3.0,0.2
850,3.0,0.3
860,3.0,0.2
870,3.0,0.0
880,3.0,0.1
890,3.0,0.0
900,3.0,0.0
910,3.0,0.2
920,3.0,2.7755576e-17
930,3.0,0.0
940,3.0,0.0
950,3.0,0.0
960,3.0,0.0
970,3.0,0.3
980,3.0,0.3
990,3.0,0.5
1000,3.0,0.4
1010,3.0,0.6
1020,3.0,1.0
1030,3.0,0.9
1040,3.0,0.9
1050,3.0,0.9
1060,3.0,0.8
1070,3.0,0.9
1080,3.0,0.6
1090,3.0,0.6
1100,3.0,0.6
1110,3.0,0.7
1120,3.0,0.9
1130,3.0,0.9
1140,3.0,0.6
1150,3.0,1.0
1160,3.0,1.0
1170,3.0,1.0
1180,3.0,1.0
1190,3.0,1.0
1200,3.0,1.0
1210,3.0,0.9
1220,3.0,1.0
1230,3.0,1.0
1240,3.0,0.9
1250,3.0,1.0
1260,3.0,0.8
1270,3.0,1.0
1280,3.0,0.9
1290,3.0,0.7
1300,3.0,0.6
1310,3.0,0.9
1320,3.0,0.8
1330,3.0,0.6
1340,3.0,0.6
1350,3.0,0.3
1360,2.0,0.3
1370,2.0,0.3
1380,2.0,0.6
1390,3.0,0.9
1400,2.0,0.8
1410,3.0,0.6
1420,3.0,0.6
1430,3.0,0.8
1440,3.0,0.9
1450,3.0,1.0
1460,3.0,0.6
1470,2.0,0.4
1480,2.0,0.3
1490,2.0,0.2
1500,2.0,0.4
1510,2.0,0.3
1520,2.0,0.2
1530,2.0,0.3
1540,2.0,1.3877788e-16
1550,2.0,0.2
1560,2.0,0.0
1570,2.0,0.2
1580,2.0,0.4
1590,2.0,0.2
1600,2.0,0.3
1610,2.0,0.2
1620,2.0,0.2
1630,2.0,0.4
1640,2.0,0.2
1650,2.0,0.5
1660,2.0,0.8
1670,2.0,1.0
1680,2.0,1.0
1690,2.0,1.0
1700,2.0,0.9
1710,2.0,0.8
1720,2.0,0.8
1730,2.0,0.5
1740,2.0,0.3
1750,2.0,0.2
1760,2.0,1.3877788e-16
1770,2.0,0.1
1780,3.0,0.4
1790,2.0,0.5
1800,2.0,0.4
1810,2.0,0.6
1820,2.0,0.5
1830,2.0,0.4
1840,2.0,0.1
1850,2.0,0.6
1860,2.0,0.5
1870,2.0,0.5
1880,2.0,0.4
1890,2.0,0.8
1900,2.0,0.8
1910,2.0,0.9
1920,2.0,0.6
1930,2.0,0.6
1940,2.0,0.6
1950,2.0,0.6
1960,2.0,0.7
1970,2.0,0.7
1980,2.0,0.5
1990,2.0,0.8
2000,2.0,0.7
2010,2.0,0.5
2020,2.0,0.8
2030,2.0,0.7
2040,2.0,0.5
2050,2.0,0.4
2060,2.0,0.3
2070,2.0,0.1
2080,1.0,0.1
2090,2.0,0.0
2100,2.0,0.2
2110,1.0,2.7755576e-17
2120,2.0,2.7755576e-17
2130,2.0,0.3
2140,1.0,2.7755576e-17
2150,1.0,0.1
2160,1.0,2.7755576e-17
2170,1.0,0.0
2180,2.0,0.0
2190,1.0,0.0
2200,1.0,0.3
2210,1.0,0.3
2220,1.0,0.2
2230,1.0,0.1
2240,1.0,0.0
2250,2.0,0.0
2260,2.0,0.2
2270,2.0,0.0
2280,1.0,0.0
2290,2.0,0.1
2300,1.0,0.1
2310,1.0,0.2
2320,2.0,0.3
2330,2.0,0.2
2340,2.0,0.0
2350,2.0,0.0
2360,2.0,0.0
2370,1.0,0.2
2380,2.0,0.2
2390,2.0,0.4
2400,2.0,0.5
2410,1.0,0.5
2420,1.0,0.3
2430,1.0,0.3
2440,2.0,0.3
2450,1.0,0.4
2460,1.0,0.1
2470,1.0,0.1
2480,2.0,0.3
2490,1.0,0.4
2500,1.0,0.3
2510,1.0,0.2
2520,1.0,0.2
2530,2.0,2.7755576e-17
2540,1.0,0.2
2550,1.0,0.0
2560,2.0,0.1
2570,1.0,0.1
2580,1.0,0.5
2590,1.0,0.6
2600,1.0,0.6
2610,1.0,0.6
2620,1.0,0.2
2630,1.0,0.6
2640,1.0,0.3
2650,1.0,0.3
2660,1.0,0.5
2670,1.0,0.2
2680,2.0,0.7
2690,1.0,0.5
2700,1.0,0.1
2710,1.0,0.2
2720,1.0,0.0
2730,1.0,0.0
2740,1.0,0.1
2750,1.0,0.0
2760,1.0,0.1
2770,1.0,0.0
2780,1.0,0.0
2790,1.0,0.2
2800,1.0,0.6
2810,1.0,0.4
2820,1.0,0.5
2830,1.0,0.3
2840,1.0,0.3
2850,1.0,0.2
2860,1.0,0.4
2870,1.0,0.2
2880,1.0,0.4
2890,1.0,0.5
2900,1.0,0.4
2910,1.0,0.5
2920,1.0,0.7
2930,1.0,0.9
2940,1.0,0.9
2950,1.0,0.9
2960,1.0,0.9
2970,1.0,0.8
2980,1.0,0.8
2990,1.0,0.7
3000,1.0,0.9
3010,1.0,0.7
3020,1.0,0.4
3030,1.0,0.4
3040,1.0,0.5
3050,1.0,0.5
3060,1.0,0.5
3070,1.0,0.6
3080,1.0,0.5
3090,1.0,0.3
3100,1.0,0.3
3110,1.0,0.0
3120,1.0,0.2
3130,1.0,0.2
3140,1.0,0.2
3150,1.0,2.7755576e-17
3160,1.0,0.2
3170,1.0,0.1
3180,1.0,0.3
3190,1.0,0.1
3200,1.0,0.2
3210,1.0,0.1
3220,1.0,2.7755576e-17
3230,1.0,0.1
3240,1.0,0.1
3250,1.0,0.3
3260,1.0,0.1
3270,1.0,0.1
3280,1.0,0.3
3290,1.0,0.3
3300,1.0,0.1
3310,1.0,0.0
3320,1.0,0.2
3330,1.0,0.0
3340,1.0,0.0
3350,1.0,0.0
3360,1.0,0.0
3370,1.0,0.2
3380,1.0,0.3
3390,1.0,0.4
3400,1.0,0.2
3410,1.0,0.3
3420,1.0,0.4
3430,1.0,0.5
3440,1.0,0.6
3450,1.0,0.6
3460,1.0,0.5
3470,1.0,0.5
3480,1.0,0.3
3490,1.0,0.2
3500,1.0,0.5
3510,1.0,0.5
3520,1.0,0.4
3530,1.0,0.3
3540,1.0,0.3
3550,1.0,0.1
3560,1.0,0.0
3570,1.0,0.3
3580,1.0,0.4
3590,1.0,0.4
3600,1.0,0.5
3610,1.0,0.6
3620,1.0,0.6
3630,1.0,0.7
3640,1.0,0.6
3650,1.0,0.6
3660,1.0,0.8
